Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi,Ef,Mag,AHC,condu,AHA,ene
0,0,0,0,41.5,0,0,24,0,0,0,0,0,0,20,0,0,0,5,0,0,7,0,0,2.5,0,0,0.0305436,0.5433,5.24E-05,0.01450208,0.003613,-5383.816226
6,0,0,0,33,0,0,3,0,0,0,0,0,0,0,0,0,0,28.5,0,0,0,14,0,0,15.5,0,0.025216805,1.0577,0.000353291,0.015153076,0.023315,-11750.30751
0,0,0,0,7.5,0,0,38,0,0,0,17.5,0,0,0,0,0,0,26.5,0,0,10.5,0,0,0,0,0,0.02609742,0.8717,0.000157063,0.010495253,0.014965,-5789.247699
0,1,0,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,21,16,0,0,0,19,0,0,0,0.04063731,0.92,0.000248974,0.025500323,0.009764,-9405.269385
0,0,0,0,29.5,0,0,9.5,4,0,0,22.5,0,0,0,1.5,0,0,33,0,0,0,0,0,0,0,0,0.0076833,1.3935,0.000319504,0.063777017,0.00501,-2874.374606
0,0,0,0,8,0,0,47.5,2.5,0,0,0,0,0,0,0,0,9,10,0,0,23,0,0,0,0,0,0.03129422,0.4029,4.48E-05,0.00748512,0.005985,-9009.340133
13,0,0,0,53.5,0,0,5.5,7,0,0,0,0,0,0,0,0,0,17.5,0,0,0,3.5,0,0,0,0,0.01216936,1.0666,0.000209059,0.012356682,0.016919,-3671.07285
0,0,0,0,11,0,0,36,0,0,0,0,0,0,14.5,9.5,0,0,18.5,0,0,0,10.5,0,0,0,0,0.030424925,0.6098,0.000147308,0.011897461,0.012381,-5678.889083
0,0,0,0,2,0,0,72.5,1,0,0,0,0,0,0,0,15.5,0,2.5,0,0,0,0,6.5,0,0,0,0.017912335,0.2637,0.00020985,0.011514436,0.018225,-4524.217368
0,0,0,0,5.5,0,0,62,0,0,0,0,0,0,0,30,0,0.5,1.5,0,0,0,0,0,0.5,0,0,0.004769635,0.8228,0.000170069,0.015016787,0.011325,-2942.576603
3.5,0,0,0,0.5,0,22,37,0,0,0,13,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0.004739025,0.8936,0.000153946,0.025073564,0.00614,-4461.085878
9.5,0,0,0,22,0,0,39.5,0,0,0,0,0,0,0,16,0,0,9.5,0,0,0,3.5,0,0,0,0,0.011962025,1.0057,0.000168247,0.01166704,0.014421,-3683.246101
5,0,8.5,0,29,0,0,7,0,0,0,0,0,0,0,0,0,0,41,9.5,0,0,0,0,0,0,0,0.005106915,1.406,0.00034752,0.012809552,0.02713,-3052.550079
0,0,0,6.5,44,2.5,0,5.5,0,0,0,0,0,0,0,0,0,0,29.5,0,0,0,0,0,0,0,12,0.30287208,1.5996,0.000535381,0.011281,0.047459,-8549.069233
0,0,0,0,22.5,9.5,0,4,0,0,0,0,0,0,0,0,0,0,36.5,0,0,0,8.5,19,0,0,0,0.048588985,1.07,0.000403376,0.013128753,0.030725,-14096.62806
0,0,1.5,0,50.5,29.5,0,3,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,6,0,0,0.031500965,1.1474,0.000144744,0.013270732,0.010907,-14992.35465
0,0,0,0,27,29,0,3,0,0,0,6.5,0,0,0,0,2.5,0,32,0,0,0,0,0,0,0,0,0.02184813,1.376,0.000317692,0.053747181,0.005911,-12931.41659
0,0,0,0,4.5,0,0,55,0,0,0,0,0,0,0,0,0,0,3.5,0,0,14.5,15.5,0,0,0,7,0.195624905,0.1799,6.91E-06,0.007280602,0.00095,-14131.18045
0,0,0,0,37,0,5,17.5,0,0,0,14,0,0,0,0,5.5,0,21,0,0,0,0,0,0,0,0,0.008367955,1.2707,0.000237873,0.076915088,0.003093,-3088.194373
0,0,0,0,15.5,0,7,50,0,0,0,0,0,0,0,0,0,0,4,21,0,0,2.5,0,0,0,0,0.02129633,0.6025,0.000134365,0.017688593,0.007596,-5445.907303
0,0,0,0,46.5,0,5,10,0,0,0,22,0,0,0,0,0,1,15.5,0,0,0,0,0,0,0,0,0.00775155,1.232,0.000356679,0.073324963,0.004864,-3233.391885
0,0,0,6,33,15.5,0,5,0,0,0,0,0,0,0,0,0,2.5,38,0,0,0,0,0,0,0,0,0.01442989,1.5846,0.000368387,0.021202149,0.017375,-8210.426496
0,4.5,0,0,46,0,0,5.5,0,0,0,0,0,0,11.5,0,0,0,19.5,0,0,13,0,0,0,0,0,0.042165485,0.8354,0.000216373,0.015538827,0.013925,-6456.655791
0,0,0,0,3.5,0.5,0,33,0,0,0,0,0,0,0,0,9.5,0,38.5,0,0,0,0,15,0,0,0,0.03488366,1.0669,0.000169723,0.009194348,0.018459,-7159.749136
0,5.5,0,0,11,0,0,46,4.5,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,10.5,0.267725815,0.9717,0.000132009,0.008925714,0.01479,-7392.259643
0,0,0,0,8.5,0,9.5,21.5,0,0,11,0,0,0,0,0,5.5,0,44,0,0,0,0,0,0,0,0,0.021405045,1.2911,0.000246279,0.0108252,0.022751,-3882.793108
0,0,0,0,46.5,0,0,4,0,0,0,0,3,0,0,0,0,0,25.5,0,0,0,0,21,0,0,0,0.04142113,1.1075,0.000300581,0.020265257,0.014832,-9963.343865
0,0,9,16,15.5,0,0,14.5,0,0,0,4,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0.00616837,1.3529,0.000270424,0.013084281,0.020668,-2764.537534
0,0,0,0,35,0,0,2,0,18.5,0,0,0,0,0,0,0,0,41,0,0,0,0,0,3.5,0,0,0.015783605,1.5529,0.000345911,0.012385312,0.027929,-3969.550143
0,0,0,0,16.5,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,36,17,0,0,5.5,0,0,0,0,0.019592115,1.1929,0.000357064,0.014870788,0.024011,-9627.917082
0,0,0,0,20.5,0,0,26,0,0,0,0,0,18,0,3,2,0,30.5,0,0,0,0,0,0,0,0,0.03245153,1.372,0.000262066,0.01466217,0.017874,-4440.5611
0,0,0,0,15,0,0,22,0,0,0,14,0,0,0,0.5,0,25,23.5,0,0,0,0,0,0,0,0,0.008657605,0.9274,0.000159842,0.012122609,0.013185,-2305.439241
0,0,4,0,3.5,0,0,43.5,20.5,0,0,0,0,0,0,0,0,0,27.5,0,0,0,0,0,0,1,0,-0.00201603,0.933,0.000265855,0.026889434,0.009887,-3233.720742
20.5,0,0,0,20.5,0,10.5,12,0,0,0,0,0,0,0,0,0,0,35.5,0,0,0,1,0,0,0,0,0.006227225,1.0523,0.000254763,0.011146897,0.022855,-3562.489966
0,2.5,0,0,3,0,5.5,49,0,0,0,12,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0.009093765,1.0373,0.000201809,0.021746205,0.00928,-3430.203793
0,0,0,0,28.5,12.5,0,20.5,0,0,0,0,0,0,0,10.5,0,0,22.5,5.5,0,0,0,0,0,0,0,0.019182805,1.4852,0.000331336,0.014865382,0.022289,-7494.438388
5.5,0,0,0,23,0,3,42,12,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0.000456415,0.8774,0.000106918,0.016006204,0.00668,-3115.431969
0,0,0,0,40,0,0,8.5,0,0,0,0,20,0,0,0,0,0,15.5,0,6,0,10,0,0,0,0,0.01815909,1.0871,0.00026048,0.014816337,0.017581,-12846.13689
0,0,0,14.5,25.5,0,0,18,0,0,0,0,0,0,0,2,0,0,34,0,0,0,0,6,0,0,0,0.017044155,1.3686,0.00019067,0.009725724,0.019605,-4718.703275
0,0,8.5,0,12,0,0,29.5,0,0,0,0,0,0,0,18,0,0,27,0,0,0,0,5,0,0,0,0.01143075,1.279,0.000293609,0.011530225,0.025464,-3994.056776
0,0,0,0,41.5,0,0,0.5,11,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,29,0,0.01439106,1.1722,0.000469052,0.01423592,0.032948,-12382.97196
0,0,0,0,16,0,0,11,0,0,0,0,0,13.5,0,0,8.5,0,35,0,0,16,0,0,0,0,0,0.03981916,1.1651,0.000285336,0.007188494,0.039693,-8205.179871
0,0,0,0,31,0,0,28.5,0,0,0,11.5,0,0,0,0,0,21.5,4.5,3,0,0,0,0,0,0,0,0.00708063,0.7113,0.000124692,0.011672592,0.010682,-2622.668015
0,0,0,0,9.5,0,0,55.5,0,0,0,0,0,0,0,0,0,0,13.5,9.5,0,0,2.5,0,0,9.5,0,0.01851062,0.7807,0.000107938,0.015674678,0.006886,-7331.980392
0,0,0,8.5,7.5,0,0,27.5,0,0,0,0,0,9.5,0,0,0,0,36.5,0,0,0,0,10.5,0,0,0,0.03507543,1.1416,0.000139778,0.007988229,0.017498,-6900.39279
0,0,0,0,21,7.5,0,39.5,0,0,0,0,0,12.5,0,1,0,0,18.5,0,0,0,0,0,0,0,0,0.02434576,1.0825,0.000186032,0.019857338,0.009368,-6682.818771
0,11.5,0,0,2.5,0,14.5,30.5,0,0,0,0,4.5,0,0,0,0,0,36.5,0,0,0,0,0,0,0,0,0.01963846,1.076,0.000192054,0.010983597,0.017486,-5929.100688
0,0,0,0,25.5,0,0,6.5,1,0,25,0,0,0,0,0,0,0,31,0,0,11,0,0,0,0,0,0.04677309,0.9549,0.000323179,0.016022116,0.020171,-7079.742731
0,0,0,0,10.5,0,0,48.5,0,0,0,0,0,0,0,19.5,0,8,12,0,0,1.5,0,0,0,0,0,0.00415251,1.2372,0.000167317,0.014122246,0.011848,-3024.532499
0,0,3,0,28,0,0,44,0,0,0,0,0,0,0,21.5,0,3.5,0,0,0,0,0,0,0,0,0,0.0026244,1.2016,0.000210531,0.014503792,0.014516,-2651.777696
